Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_170045_20130419_20200912_02_T1,LC08_L1TP_170045_20130419_20200912_02_T1,LC81700452013109LGN03,2013/04/19,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-19 07:50:43.273049,2013-04-19 07:51:13.069069,LGN,DAY,   0.46,   0.22,571,5,    5.700,    3.377,    4.592,LPGS_15.3.1c,65.69457849,111.66081943,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.18"N,39°04'35.15"E,22°39'24.84"N,37°58'44.40"E,22°39'21.06"N,40°10'29.14"E,20°40'13.58"N,37°59'34.40"E,20°40'10.13"N,40°09'31.61"E, 21.67144,  39.07643, 22.65690,  37.97900, 22.65585,  40.17476, 20.67044,  37.99289, 20.66948,  40.15878,LC08_L2SP_170045_20130419_20200912_02_T1,LC81700452013109LGN03
LC08_L2SP_170045_20130505_20200913_02_T1,LC08_L1TP_170045_20130505_20200913_02_T1,LC81700452013125LGN02,2013/05/05,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-05 07:50:43.920496,2013-05-05 07:51:13.716516,LGN,DAY,   0.01,   1.94,565,5,    5.844,    3.401,    4.753,LPGS_15.3.1c,68.24127505,100.34009807,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'16.90"N,39°05'09.96"E,22°39'25.06"N,37°59'15.94"E,22°39'20.84"N,40°11'00.67"E,20°40'13.76"N,38°00'05.51"E,20°40'09.91"N,40°10'02.71"E, 21.67136,  39.08610, 22.65696,  37.98776, 22.65579,  40.18352, 20.67049,  38.00153, 20.66942,  40.16742,LC08_L2SP_170045_20130505_20200913_02_T1,LC81700452013125LGN02
LC08_L2SP_170045_20130521_20200913_02_T1,LC08_L1TP_170045_20130521_20200913_02_T1,LC81700452013141LGN02,2013/05/21,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-21 07:50:56.995648,2013-05-21 07:51:26.791668,LGN,DAY,   0.00,   0.00,560,5,    5.885,    3.007,    5.058,LPGS_15.3.1c,69.14162769,89.85692494,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.44"N,39°02'28.03"E,22°39'24.05"N,37°56'38.29"E,22°39'21.96"N,40°08'22.99"E,20°40'12.83"N,37°57'29.99"E,20°40'10.96"N,40°07'27.19"E, 21.67151,  39.04112, 22.65668,  37.94397, 22.65610,  40.13972, 20.67023,  37.95833, 20.66971,  40.12422,LC08_L2SP_170045_20130521_20200913_02_T1,LC81700452013141LGN02
LC08_L2SP_170045_20130606_20200913_02_T1,LC08_L1TP_170045_20130606_20200913_02_T1,LC81700452013157LGN01,2013/06/06,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/13,2020/09/13,2013-06-06 07:50:57.540374,2013-06-06 07:51:27.336394,LGN,DAY,   0.00,   0.02,565,5,    6.100,    3.364,    5.089,LPGS_15.3.1c,68.87063135,82.95797479,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.11"N,39°02'51.04"E,22°39'24.19"N,37°56'59.32"E,22°39'21.82"N,40°08'44.02"E,20°40'12.94"N,37°57'50.72"E,20°40'10.81"N,40°07'47.93"E, 21.67142,  39.04751, 22.65672,  37.94981, 22.65606,  40.14556, 20.67026,  37.96409, 20.66967,  40.12998,LC08_L2SP_170045_20130606_20200913_02_T1,LC81700452013157LGN01
LC08_L2SP_170045_20130622_20200912_02_T1,LC08_L1TP_170045_20130622_20200912_02_T1,LC81700452013173LGN01,2013/06/22,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-22 07:50:49.995221,2013-06-22 07:51:19.791241,LGN,DAY,   0.00,   0.00,588,5,    5.960,    3.052,    5.119,LPGS_15.3.1c,68.12141509,80.86805425,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.01"N,39°05'09.53"E,22°39'25.13"N,37°59'26.45"E,22°39'20.84"N,40°11'00.67"E,20°40'23.56"N,38°00'15.80"E,20°40'19.70"N,40°10'02.78"E, 21.67167,  39.08598, 22.65698,  37.99068, 22.65579,  40.18352, 20.67321,  38.00439, 20.67214,  40.16744,LC08_L2SP_170045_20130622_20200912_02_T1,LC81700452013173LGN01
LC08_L2SP_170045_20130708_20200912_02_T1,LC08_L1TP_170045_20130708_20200912_02_T1,LC81700452013189LGN01,2013/07/08,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-08 07:50:53.683475,2013-07-08 07:51:25.453471,LGN,DAY,  29.32,  24.60,368,5,    6.254,    3.451,    5.215,LPGS_15.3.1c,67.39190459,83.44560729,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.33"N,39°04'17.47"E,22°42'59.04"N,37°57'39.71"E,22°42'55.51"N,40°10'52"E,20°36'38.56"N,37°58'33.64"E,20°36'35.35"N,40°09'50.72"E, 21.67148,  39.07152, 22.71640,  37.96103, 22.71542,  40.18111, 20.61071,  37.97601, 20.60982,  40.16409,LC08_L2SP_170045_20130708_20200912_02_T1,LC81700452013189LGN01
LC08_L2SP_170045_20130724_20200912_02_T1,LC08_L1TP_170045_20130724_20200912_02_T1,LC81700452013205LGN01,2013/07/24,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-24 07:50:52.392372,2013-07-24 07:51:24.162368,LGN,DAY,   0.14,   0.75,630,5,    5.627,    2.780,    4.892,LPGS_15.3.1c,66.79280655,90.09619055,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.59"N,39°04'47.10"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67183,  39.07975, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20130724_20200912_02_T1,LC81700452013205LGN01
LC08_L2SP_170045_20130809_20200912_02_T1,LC08_L1TP_170045_20130809_20200912_02_T1,LC81700452013221LGN02,2013/08/09,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-08-09 07:50:54.946486,2013-08-09 07:51:26.716482,LGN,DAY,   0.64,   4.40,623,5,    5.110,    2.882,    4.219,LPGS_15.3.1c,66.07917114,100.05794068,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'16.97"N,39°04'07.25"E,22°42'59"N,37°57'29.20"E,22°42'55.51"N,40°10'52"E,20°36'38.48"N,37°58'23.27"E,20°36'35.35"N,40°09'50.72"E, 21.67138,  39.06868, 22.71639,  37.95811, 22.71542,  40.18111, 20.61069,  37.97313, 20.60982,  40.16409,LC08_L2SP_170045_20130809_20200912_02_T1,LC81700452013221LGN02
LC08_L2SP_170045_20130825_20200912_02_T1,LC08_L1TP_170045_20130825_20200912_02_T1,LC81700452013237LGN01,2013/08/25,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-08-25 07:50:57.0218,2013-08-25 07:51:28.791796,LGN,DAY,  37.14,  22.36,304,5,    5.333,    3.267,    4.215,LPGS_15.3.1c,64.80140386,112.14776292,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.37"N,39°03'21.31"E,22°42'58.64"N,37°56'36.64"E,22°42'55.91"N,40°09'59.40"E,20°36'47.92"N,37°57'31.39"E,20°36'45.47"N,40°08'58.96"E, 21.67177,  39.05592, 22.71629,  37.94351, 22.71553,  40.16650, 20.61331,  37.95872, 20.61263,  40.14971,LC08_L2SP_170045_20130825_20200912_02_T1,LC81700452013237LGN01
LC08_L2SP_170045_20130910_20200912_02_T1,LC08_L1TP_170045_20130910_20200912_02_T1,LC81700452013253LGN01,2013/09/10,T1,2, 170, 045, 170, 045,NADIR,   0.000,2020/09/12,2020/09/12,2013-09-10 07:50:54.856759,2013-09-10 07:51:26.626755,LGN,DAY,   5.00,   6.87,461,5,    4.709,    3.357,    3.302,LPGS_15.3.1c,62.53575610,124.61444773,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.44"N,39°03'25.70"E,22°42'58.64"N,37°56'36.64"E,22°42'55.80"N,40°10'09.91"E,20°36'47.92"N,37°57'31.39"E,20°36'45.40"N,40°09'09.32"E, 21.67151,  39.05714, 22.71629,  37.94351, 22.71550,  40.16942, 20.61331,  37.95872, 20.61261,  40.15259,LC08_L2SP_170045_20130910_20200912_02_T1,LC81700452013253LGN01
